Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
60,"Each Process P i , i= 1.......9 is coded as follows repeat 
    P(mutex)
    {Critical section}
    V(mutex)
 forever The code for P 10 is identical except it uses V(mutex) in place of P(mutex). What is the largest number of processes that can be inside the critical section at any moment?",,1,,2,,3,,None of above,,D,MCQ,"Consider code for i= 1 to 9
Initially mutex value set to 1, so it can allow only 1 process at a time. Now p1 enter into critical section and by this time remaining all are in block state. (i.e blocked processes= 2,3,4,5,6,7,8,9). But consider code for 10th process, it tells that unblock any process because it contain operation. Because of this it can unblock the processes and send it to the critical section. By doing this all processes can enter into critical section. So, finally there are 10 processes at maximum can enter into critical section. Alternative Way- There is loop which runs forever So P10 runs forever. And it has capability to put all other processes to Critical Section. Moreover they Asked Maximum Number of process that can be Present at critical Section So Answer is 10. 

Option (D) is correct.

 
This explanation is contributed by Ajay Puri . Quiz of this Question",
61,"An operating system handles requests to resources as follows.
A process (which asks for some resources, uses them for some time and then exits the system) is assigned a unique timestamp are when it starts. The timestamps are monotonically increasing with time. Let us denote the timestamp of a process P by TS(P).

When a process P requests for a resource the OS does the following: (i) If no other process is currently holding the resource, the OS awards the resource to P. (ii) If some process Q with TS(Q)<TS(P) is holding the resource, the OS makes P wait for 
     the resources. (iii) If some process Q with TS(Q)>TS(P) is holding the resource, the OS restarts Q 
      and awards the resources to P. (Restarting means taking back the resources held by a process, killing it and starting it 
again with the same timestamp) When a process releases a resource, the process with the smallest timestamp (if any) amongst those waiting for the resource is awarded the resource. a) . Can a deadlock ever arise? If yes, show how. If not, prove it. b) . Can a process P ever starve? If yes, show how. If not, prove it.",,,,,,,,,,,MCQ,,
62,"Given the following Pascal-like program segment Procedure A;
  x,y:integer;
   Procedure B;
    x,z:real
    S1
   end B;
   Procedure C;
      i:integer;
       S2
   end C;
end A; The variables accessible in S1 and S2 are",,"x of A, y, x of B and z in S1 and x of B, y and i in S2",,"x of B, y and z in S1 and x of B, i and z in S2",,"x of B, z and y in S1 and x of A, i and y in S2",,None of the above,,C,MCQ,,
63,"Consider the following piece of 'C' code fragment that removes duplicates from an ordered list of integers. C++ #include <stdio.h> Node * remove_duplicates ( Node * head , int * j ) { Node * t1 , * t2 ; * j = 0 ; t1 = head ; if ( t1 != NULL ) t2 = t1 -> next ; else return head ; * j = 1 ; if ( t2 == NULL ) return head ; while ( t2 != NULL ) { if ( t1 -> val != t2 -> val ) { // S1 ( * j ) ++ ; t1 -> next = t2 ; t1 = t2 ; // S2 } t2 = t2 -> next ; } t1 -> next = NULL ; return head ; } C #include <stdio.h> Node * remove - duplicates ( Node * head , int * j ) { Node * t1 , * t2 ; * j = 0 ; t1 = head ; if ( t1 ! = NULL ) t2 = t1 → next ; else return head ; * j = 1 ; if ( t2 == NULL ) return head ; while t2 != NULL ) { if ( t1 . val != t2 . val ) -------------------------- → ( S1 ) { ( * j ) ++ ; t1 -> next = t2 ; t1 = t2 : ---------- → ( S2 ) } t2 = t2 → next ; } t1 → next = NULL ; return head ; } Java public Node removeDuplicates ( Node head , int [] j ) { Node t1 , t2 ; j [ 0 ] = 0 ; t1 = head ; if ( t1 != null ) t2 = t1 . next ; else return head ; j [ 0 ] = 1 ; if ( t2 == null ) return head ; while ( t2 != null ) { if ( t1 . val != t2 . val ) { // S1 j [ 0 ]++ ; t1 . next = t2 ; t1 = t2 ; // S2 } t2 = t2 . next ; } t1 . next = null ; return head ; } Python def remove_duplicates ( head , j ): t1 = head j [ 0 ] = 0 if t1 is not None : t2 = t1 . next else : return head j [ 0 ] = 1 if t2 is None : return head while t2 is not None : if t1 . val != t2 . val : # S1 j [ 0 ] += 1 # S2 t1 . next = t2 # S2 t1 = t2 # S2 t2 = t2 . next t1 . next = None return head JavaScript function removeDuplicates ( head , j ) { let t1 = head ; j [ 0 ] = 0 ; if ( t1 !== null ) t2 = t1 . next ; else return head ; j [ 0 ] = 1 ; if ( t2 === null ) return head ; while ( t2 !== null ) { if ( t1 . val !== t2 . val ) { // S1 j [ 0 ] ++ ; t1 . next = t2 ; t1 = t2 ; // S2 } t2 = t2 . next ; } t1 . next = null ; return head ; } Assume the list contains n elements (n≥2) in the following questions. a). How many times is the comparison in statement S1 made? b). What is the minimum and the maximum number of times statements marked S2 get executed? c). What is the significance of the value in the integer pointed to by j when the function completes?",,"(a). n-1 times, since comparison is pairwise for n elements. (b). maximum : n-1 for all distinct elements, minimum: 0 for all same elements. (C). j keeps count of distinct nodes in the list.",,"(a). n times, since comparison is pairwise for n elements. (b). maximum : n-1 for all distinct elements, minimum: 0 for all same elements. (C). j keeps count of distinct nodes in the list.",,"(a). n-1 times, since comparison is pairwise for n elements. (b). maximum : n-1 for all distinct elements, minimum: 1 for all same elements. (C). j keeps count of distinct nodes in the list.",,None of the above,,A,MCQ,"(a). n-1 times, since comparison is pairwise for n elements. (b). maximum : n-1 for all distinct elements, minimum: 0 for all same elements. (C). j keeps count of distinct nodes in the list.",
64,The concatenation of two lists is to be performed in O(1) time. Which of the following implementations of a list should be used?,,singly linked list,,doubly linked list,,circular doubly linked list,,array implementation of lists,,C,MCQ,As list concatenation requires traversing at least one list to the end. So singly linked list and doubly linked list requires O(n) time complexity whereas circular doubly linked list required O(1) time.,
65,"A binary search tree contains the values 1, 2, 3, 4, 5, 6, 7, 8. The tree is traversed in pre-order and the values are printed out. Which of the following sequences is a valid output?",,53124786,,53126487,,53241678,,53124768,,D,MCQ,,
66,"A size-balanced binary tree is a binary tree in which for every node, the difference between the number of nodes in the left and right subtree is at most 1. The distance of a node from the root is the length of the path from the root to the node. The height of a binary tree is the maximum distance of a leaf node from the root. a . Prove, by using induction on h , that a size-balance binary tree of height h contains at least 2 h nodes. b . In a size-balanced binary tree of height h≤1 , how many nodes are at distance h−1 from the root? Write only the answer without any explanations.",,,,,,,,,,,MCQ,,
67,"What is the probability of a collision when hashing n keys into a hash table of size m, assuming that the hash function produces a uniform random distribution?",,O(1/n),,O(n/m),,O(logn),,O(m/n),,B,MCQ,"The probability of a collision occurring is dependent on the number of items hashed (n) and the size of the hash table (m). As the number of items increases, the probability of a collision also increases. However, as the size of the hash table increases, the probability decreases. Therefore, the probability of a collision can be estimated as O(n/m).",
68,Let G be the graph with 100 vertices numbered 1 to 100. Two vertices i and j are adjacent if |i−j|=8 or |i−j|=12 . The number of connected components in G is,,8,,4,,12,,25,,B,MCQ,"When vertices are arranged with difference of 12 the number of components is reduced to 4 as first column will be connected with fifth column, second column will be connected with sixth column, third column will be connected with seventh column and fourth column will be connected with eighth column. No other form of connection exists so total 4 connected components are there. So, option (B) is correct.",
69,Which of the following is essential for converting an infix expression to the postfix from efficiently ?,,An operator stack,,An operand stack,,An operand stack and an operator stack,,A parse tree,,A,MCQ,"Operator stack is used for converting infix to postfix expression such that operators like as +, *, (, ), /  are pushed in stack where as  operand stack is used  for converting Postfix to Prefix evaluation such that operands are 7,2,1,2 etc.

Hence, option (A) is correct.",
70,"In the following grammar X :: = X ⊕ Y / Y
Y :: = Z * Y / Z
Z :: = id Which of the following is true?
a. '⊕' is left associative while '*' is right associative
b. Both '⊕' and '*' are left associative
c. '⊕' is right associative while '*' is left associative
d. None of the above",,a,,b,,c,,d,,A,MCQ,"X :: = X ⊕ Y is left recursive grammar, so ‘⊕’ is left associative and Z * Y is right recursive grammar, so ‘*’ is right associative.",
71,"The language L , defined by the following grammar allows use of real or integer data in expressions and assignment statements. (assign-stmt):: = (LHS):= (E)
(E)          :: = (E) + (T) | (T)
(T)          :: = (T) * (V) | (V)
(V)          :: = id | ( (E) ) (LHS)        :: = id It is required to convert expression and assignment strings of L into postfix strings that use the type-specific operators (+, i), (+, r), (*, i), (*, r), (:=, i) and (:=, r).
Write a syntax directed translation scheme to convert expression and assignment strings into the post-fix form. You may assume that the name and type of a variable can be obtained by making the function calls 'give-type (id)' and 'give-name (id)' respectively.",,,,,,,,,,,MCQ,,
72,A language L allows declaration of arrays whose sizes are not known during compilation. It is required to make efficient use of memory. Which of the following is true?,,A compiler using static memory allocation can be written for L,,"A compiler cannot be written for L, an interpreter must be used",,A compiler using dynamic memory allocation can be written for L,,None of the above,,C,MCQ,"If a language L allows declaration of arrays whose sizes are not known during compilation time. It is required to use efficient use of memory.
So a compiler using dynamic memory allocation can be written for L.

An array is a collection of data items, all of the same type, accessed using a common name.

C dynamic memory allocation refers to performing manual memory management for dynamic memory allocation in the C programming language via a group of functions in the C standard library, namely malloc, realloc, calloc and free.",
73,"The expression (a*b)* c op........  where 'op' is one of ' + ', ' * ' and ' ↑ ' (exponentiation) can be evaluated on a CPU with a single register without storing the value of (a * b) if",,‘op’ is ‘+’ or ‘*’,,'op’ is ‘↑’ or ‘*’,,'op’ is ‘↑’ or ‘+’,,not possible to evaluate without storing,,A,MCQ,"Given expression is :- (a*b)* c op Here op is one of the  ‘+’, ‘*’ and ‘↑’ (exponentiation).  (a* b)* having high precedence so it will evaluate first in CPU register. But we have given one single register as we cannot store any value from reg to memory.  Now ( a * b ) is evaluated in register R and precedence order is ( ↑ , * or / , + or – ).  If we put op as (a*b)* c op  ‘ ↑ ‘ then expression becomes as  (a*b)* c ↑ d here c ↑ d will evaluate first. But we have not extra register to evaluate ( a * b ).  Therefore we cannot put any operator having precedence greater than ” * ”.  Hence, Operator is either ” + ” or “- ” .",
74,The condition expansion facility of macro processors is provided to,,test a condition during the execution of the expanded program,,to expand certain model statements depending upon the value of a condition during the execution of the expanded program,,to implement recursion,,to expand certain model statements depending upon the value of a condition during the process of macros expansion,,D,MCQ,"Macro processors provided a condition expansion facility to expand the certain module statements depending upon the value of a condition during the process of macros expansion.

Hence, option (D) is correct.",
75,"Consider the grammar S→ bSe
S→ PQR
P→ bPc
P→ ε
Q→ cQd
Q→ ε
R→ dRe
R→ ε where S,P,Q,R are non-terminal symbols with S being the start symbol; b,c,d,e are terminal symbols and ‘ε’ is the empty string. This grammar generates strings of the form b i , c j , d k , e m for some i, j, k, m ≥ 0. (a). What is the condition on the values of i, j, k, m ? (b). Find the smallest string that has two parse trees.",,,,,,,,,,,MCQ,"(a). Condition on the values of i, j, k, m i+k = j+m where i, j, k, m >= 0 (b). Smallest string that has two parse trees = bcde
Production used to generate the smallest string is :- S- > bSe
S- > bSe
S- > bSe
S -> PQR
P-> null
Q ->cQd
Q -> null
R- > null Finally you will get the string like ” bbbcdeee”
which means that  i=3, j=1, k=1, m=3 and hence the answer i+k=j+m .

Now production used to generate the smallest string is :- S-> bSe 
S ->  bPQRe
S ->  bεQRe
S ->  bcQdRe
S ->  bcεdRe
S ->  bcdεe
S -> bcde Hence  smallest string is bcde.
Therefore  we can see same number of b, c, d, e is generated.  
Power of b, c, d, e are respectively i, j, k, m.
Hence relation between i, j, k, m is :- i+k = j+m",
