Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
42,"Let G be a simple undirected planar graph on 10 vertices with 15 edges. If G is a connected graph, then the number of bounded faces in any embedding of G on the plane is equal to",,6,,5,,4,,3,,A,MCQ,"If the graph is planar, then it must follow below Euler's Formula for planar graphs v - e + f = 2 v is number of vertices e is number of edges f is number of faces including bounded and unbounded 10 - 15 + f = 2 f = 7 There is always one unbounded face, so the number of bounded faces =  6",,Engineering Mathematics,Discrete Mathematics,Graph Theory
43,Which of the following graphs is isomorphic to,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/390ab4875c0a0f43-eOy2yDwuyVv3MTaJWYazyYqonSAy0N.png,A,,B,,C,,D,,B,MCQ,See Graph isomorphism,,Engineering Mathematics,Discrete Mathematics,Graph Theory
44,"Consider the directed graph shown in the figure below. There are multiple shortest paths between vertices S and T. Which one will be reported by Dijkstra's shortest path algorithm? Assume that, in any iteration, the shortest path to a vertex v is updated only when a strictly shorter path to v is discovered.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/908e6bff9c83ac96-t7AMSR3FNzGRNhgE5uujhkd5078Gb4.png,SDT,,SBDT,,SACDT,,SACET,,D,MCQ,Background Required -  Dijkstra's Single Source Shortest Path Algorithm Explanation - Applying  Dijkstra's algorithm to compute the shortest distances from S and finally generating the Tree as given below in the diagram.,"https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/0de798bdd7788dc1-teySDjnKmmzchgMQ6cjSLUNn4Ztiqj.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/7881b5fbb8caaad9-5HNBO35Ahx8R7t2V5hGFwKv7JmE71U.png",Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
45,"Let G be a complete undirected graph on 6 vertices. If vertices of G are labeled, then the number of distinct cycles of length 4 in G is equal to",,360,,45,,30,,15,,B,MCQ,"There can be total 6 C 4 ways to pick 4 vertices from 6. The value of 6 C 4 is 15. Note that the given graph is complete so any 4 vertices can form a cycle. There can be 6 different cycle with 4 vertices. For example, consider 4 vertices as a, b, c and d. The three distinct cycles are cycles should be like this (a, b, c, d,a) (a, b, d, c,a) (a, c, b, d,a) (a, c, d, b,a) (a, d, b, c,a) (a, d, c, b,a) and (a, b, c, d,a) and (a, d, c, b,a) (a, b, d, c,a) and (a, c, d, b,a) (a, c, b, d,a) and (a, d, b, c,a) are same cycles. So total number of distinct cycles is (15*3) = 45.",,Engineering Mathematics,Discrete Mathematics,Combinatorics
46,How many onto (or surjective) functions are there from an n-element (n >= 2) set to a 2-element set?,,2(2 n - 2),,2 n - 2,,2 n - 1,,2 n,,B,MCQ,"Total possible number of functions is 2 n . In mathematics, a function f from a set X to a set Y is surjective (or onto), or a surjection, if every element y in Y has a corresponding element x in X such that f(x) = y There are total 2 functions out of 2 n that are NOT onto: one that maps to all 1s and other that maps to all 2s. Therefore total number of onto functions is 2 n - 2.",,Engineering Mathematics,Discrete Mathematics,Combinatorics
47,"A computer has a 256 KByte, 4-way set associative, write back data cache with block size of 32 Bytes. The processor sends 32 bit addresses to the cache controller. Each cache tag directory entry contains, in addition to address tag, 2 valid bits, 1 modified bit and 1 replacement bit. The number of bits in the tag field of an address is",,11,,14,,16,,27,,C,MCQ,"A set-associative scheme is a hybrid between a fully associative cache, and direct mapped cache. It's considered a reasonable compromise between the complex hardware needed for fully associative caches (which requires parallel searches of all slots), and the simplistic direct-mapped scheme, which may cause collisions of addresses to the same slot (similar to collisions in a hash table). (source: http://www.cs.umd.edu/class/spring2003/cmsc311/Notes/Memory/set.html ). Also see http://csillustrated.berkeley.edu/PDFs/handouts/cache-3-associativity-handout.pdf Number of blocks = Cache-Size/Block-Size = 256 KB / 32 Bytes = 2 13 Number of Sets = 2 13 / 4 = 2 11 Tag + Set offset + Byte offset = 32 Tag + 11 + 5 = 32 Tag = 16",,Computer Organization and Architecture,Memory Hierarchy,Cache memory
48,"Consider the program given below, in a block-structured pseudo-language with lexical scoping and nesting of procedures permitted. Program main; Var ... Procedure A1; Var ... Call A2; End A1 Procedure A2; Var ... Procedure A21; Var ... Call A1; End A21 Call A21; End A21 Call A1; End main. Consider the calling chain : Main->A1->A2->A21->A1 The correct set of activation records along with their access links is given by :","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/33f3796e41a657fc-lNPBTdBAAQ7zHNUiujvkqP1TlQzmhz.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/6315591fa278fda0-2DhrBXiv7rN4gXbZJYjxA4isvI3Ufj.png",A,,B,,C,,D,,D,MCQ,"Access link is defined as link to activation record of closest lexically enclosing block in program text, so the closest enclosing blocks respectively for A1 ,A2 and A21 are main , main and A2 Since, Activation records are created at procedure entry time and destroyed at procedure exit time. Solution: Link to activation record of closest lexically enclosing block in program text. It depends on the static program text. Here Calling sequence is given as, Main->A1->A2->A21->A1 Now A1,A2 are defined under Main...So A1,A2 Access link are pointed to main A21 is defined under A2 hence its Access link will point to A2 . Reference: http://www.cs.nyu.edu/courses/spring08/G22.2130-001/lectures/lecture-13.html",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/f42bb8ecebfb2329-cjnluKcDT0MtsGl1FzSMiNmpGaD0fW.png,Compiler Design,Runtime Environments,Activation records
49,"Suppose a circular queue of capacity (n – 1) elements is implemented with an array of n elements. Assume that the insertion and deletion operation are carried out using REAR and FRONT as array index variables, respectively. Initially, REAR = FRONT = 0. The conditions to detect queue full and queue empty are",,"Full: (REAR+1) mod n == FRONT, empty: REAR == FRONT",,"Full: (REAR+1) mod n == FRONT, empty: (FRONT+1) mod n == REAR",,"Full: REAR == FRONT, empty: (REAR+1) mod n == FRONT",,"Full: (FRONT+1) mod n == REAR, empty: REAR == FRONT",,A,MCQ,"Implementation of Circular Queue : Head - It always points to the location from where next deletion takes place from the queue. Tail - It always points to the next empty location in which next insertion will take place in the queue.  We will be using wrap around feature since it is a circular queue which is when the tail or head is at the index n-1, next operation will bring them to index 0. In Spite of having capacity of n inside array, we will reserve one empty spot in order to detect the overflow(Queue Full) and underflow(Queue Empty) conditions. The elements in the queue reside in locations Q.head,   Q.head + 1, . . . , Q.tail + 1, where we “wrap around” in the sense that location 0 immediately follows location n-1 in a circular order. Algorithm : ENQUEUE(Q, x) { if Q.head == Q.tail + 1 error ""Queue overflow"" Q[Q.tail] = x if Q.tail == Q.length    - 1 Q.tail = 0 else Q.tail = Q.tail + 1 } DEQUEUE(Q) { if Q.head == Q.tail error ""Queue underflow"" x = Q[Q.head] if Q.head == Q.length - 1 Q.head = 0 else Q.head = Q.head + 1 return x } See http://en.wikipedia.org/wiki/Circular_buffer#Always_Keep_One_Slot_Open This solution is contributed by Pranjul Ahuja",,Programming and Data Structures,Linear Data Structures,Queues
50,"An Internet Service Provider (ISP) has the following chunk of CIDR-based IP addresses available with it: 245.248.128.0/20. The ISP wants to give half of this chunk of addresses to Organization A, and a quarter to Organization B, while retaining the remaining with itself. Which of the following is a valid allocation of addresses to A and B?",,245.248.136.0/21 and 245.248.128.0/22,,245.248.128.0/21 and 245.248.128.0/22,,245.248.132.0/22 and 245.248.132.0/21,,245.248.136.0/24 and 245.248.132.0/21,,A,MCQ,"Explanation : The correct option is A - 245.248.136.0/21 and 245.248.128.0/22 It has 20 bit mask, so total number of hosts are 2^12 hosts. It wants half of the chunk to A, therefore mask of A should be 21 bits, so it will contain 2^11 hosts. ∴ Two choices for A ⇒ 245.248.1000 0000.0/21 245.248.1000 1000.0/21 ∴ A can be assigned ⇒ 245.248.136.0/21 245.248.128.0/22 Now, one fourth needs to be assigned to B, hence its mask should be of 22 bits. But if we look at other choice, the host in A and B are conflicting, therefore option (A) is correct.",,Computer Networks,Network Layer,IP addressing
51,"Suppose a fair six-sided die is rolled once. If the value on the die is 1, 2, or 3, the die is rolled a second time. What is the probability that the sum total of values that turn up is at least 6?",,10/21,,5/12,,2/3,,1/6,,B,MCQ,"Solution set: { 6, (1,5), (1,6) ......} i.e. P(6 appeared on first throw) + P(1 appeared on first throw and 5 appeared on second throw) + P(1 appeared on first throw and 6 appeared on second throw) + .................... = 1/6 + (1/6)(1/6) + (1/6)(1/6) + ..... = 1/6 + 9/36 = 5/12. Viewpoint 2: P(......) =   P(6 came on first throw) +  P(sum>= 6 and 1,2,3 appeared in first throw) =      1/6                                +                 ???? P(1,2,3 appeared in first throw) = 1/2                                                   //P(E1) P(sum >= 6 | 1,2,3 appeared in first throw) = 9/18                             //P(E2 | E1) // Our new sample space is:  { (1,1), (1,2), (1,3), (1,4), (1,5), (1,6) (2,1), (2,2), (2,3), (2,4), (2,5), (2,6) (3,1), (3,2), (3,3), (3,4), (3,5), (3,6) } // 9 favorable cases: {(1,5), (1,6), (2,4), (2,5), (2,6), (3,3), (3,4), (3,5), (3,6) } P(sum>= 6 and 1,2,3 appeared in first throw) = (1/2)(9/18)              //P(E2 ∩ E1) = P(E1)P(E2|E1) P(what we are looking for) = 1/6 + 9/36     = 5/12 Correct Answer: B",,Engineering Mathematics,Probability and Statistics,Conditional Probability
52,"Fetch_And_Add(X,i) is an atomic Read-Modify-Write instruction that reads the value of memory location X, increments it by the value i, and returns the old value of X. It is used in the pseudocode shown below to implement a busy-wait lock. L is an unsigned integer shared variable initialized to 0. The value of 0 corresponds to lock being available, while any non-zero value corresponds to the lock being not available. AcquireLock(L){ while (Fetch_And_Add(L,1)) L = 1; } ReleaseLock(L){ L = 0; } This implementation",,fails as L can overflow,,fails as L can take on a non-zero value when the lock is actually available,,works correctly but may starve some processes,,works correctly without starvation,,B,MCQ,"Take closer look the below while loop. while (Fetch_And_Add(L,1)) L = 1;  // A waiting process // can be here just after // the lock is released, // and can make L = 1. Consider a situation where a process has just released the lock and made L = 0. Let there be one more process waiting for the lock, means executing the AcquireLock() function. Just after the L was made 0, let the waiting processes executed the line L = 1. Now, the lock is available and L = 1. Since L is 1, the waiting process (and any other future coming processes) can not come out of the while loop.  The above problem can be resolved by changing the AcuireLock() to following. AcquireLock(L){ while (Fetch_And_Add(L,1)) { // Do Nothing } } Overflow can occur only when larger number of processes than size of ‘int’ execute the check condition of while loop but not L = 1, i.e., preemption required. But when L is 1, the process repeats in the while loop- there is no overflow because after each increment to L, L is again made equal to 1.  Option (b) is best choice over option (a). Source : http://www.geeksforgeeks.org/operating-systems-set-17/",,Operating System,Concurrency,Critical section problem
53,"Consider the 3 processes, P1, P2 and P3 shown in the table. Process           Arrival time         Time Units Required P1                0                         5 P2                1                         7 P3                3                         4 The completion order of the 3 processes under the policies FCFS and RR2 (round robin scheduling with CPU quantum of 2 time units) are",,"FCFS: P1, P2, P3 RR2: P1, P2, P3",,"FCFS: P1, P3, P2 RR2: P1, P3, P2",,"FCFS: P1, P2, P3 RR2: P1, P3, P2",,"FCFS: P1, P3, P2 RR2: P1, P2, P3",,C,MCQ,"FCFS (First-Come, First-Served) Timeline: P1 (0–5) → P2 (5–12) → P3 (12–16) Completion order: P1, P2, P3 RR with quantum = 2 (RR2) Slices: P1: 0–2 (rem 3), P2: 2–4 (rem 5), P1: 4–6 (rem 1), P3: 6–8 (rem 2), P2: 8–10 (rem 3), P1: 10–11 (finishes), P3: 11–13 (finishes), P2: 13–15 (rem 1), 15–16 (finishes) Completion order: P1, P3, P2",,Operating System,Scheduling,CPU scheduling algorithms
54,"Let G be a weighted graph with edge weights greater than one and G'be the graph constructed by squaring the weights of edges in G. Let T and T' be the minimum spanning trees of G and G', respectively, with total weights t and t'. Which of the following statements is TRUE?",,T' = T with total weight t' = t 2,,T' = T with total weight t' < t 2,,T' != T but total weight t' = t 2,,None of the above,,D,MCQ,"Squaring the weights of the edges in a weighted graph will not change the minimum spanning tree . Assume the opposite to obtain a contradiction. If the minimum spanning tree changes then at least one edge from the old graph G in the old minimum spanning tree T must be replaced by a new edge in tree T' from the graph G' with squared edge weights. The new edge from G' must have a lower weight than the edge from G. This implies that there exists some weights C1 and C2 such that C1 < C2 and C12 >= C22. This is a contradiction. Source: http://www.cs.nyu.edu/courses/spring06/V22.0310-001/hw3.htm Sums of squares of two or more numbers is always smaller than square of sum. Example:  2^2 + 2^2 < (4)^2  But there is one counter example when the graph has only one edge. In that case, the two values are same.",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
55,"The bisection method is applied to compute a zero of the function f(x) = x 4 – x 3 – x 2 – 4 in the interval [1,9]. The method converges to a solution after ––––– iterations",,7,,5,,3,,1,,C,MCQ,"In bisection method, we calculate the values at extreme points of given interval, if signs of values are opposite, then we find the middle point. Whatever sign we get at middle point, we take the corner point of opposite sign and repeat the process till we get 0. f(1) < 0 and f(9) > 0 mid = (1 + 9)/2 = 5 f(5) > 0, so zero value lies in [1, 5] mid = (1+5)/2 = 3 f(3) > 0, so zero value lies in [1, 3] mid = (1+3)/2 = 2 f(2) = 0",,Engineering Mathematics,Calculus,Limits
56,"Let w(n) and A(n) denote respectively, the worst case and average case running time of an algorithm executed on an input of size n. which of the following is ALWAYS TRUE? (A) [Tex]A(n) = \\Omega(W(n))[/Tex] (B) [Tex]A(n) = \\Theta(W(n))[/Tex] (C) [Tex]A(n) = O(W(n))[/Tex] (D) [Tex]A(n) = o(W(n))[/Tex]",,A,,B,,C,,D,,C,MCQ,The worst case time complexity is always greater than or same as the average case time complexity. The term written in Big O notation can always asymptotically same or greater than the term on the other side.,,Algorithms,Complexity Analysis,Asymptotic analysis
57,The protocol data unit (PDU) for the application layer in the Internet stack is,,Segment,,Datagram,,Message,,Frame,,C,MCQ,"At the Application Layer , the PDU is called a Message because it represents the data being exchanged between applications without any transport or network headers. Correct answer: (C) Message .",,Computer Networks,Network Models,Layered architecture
58,Let A be the 2 × 2 matrix with elements a 11 = a 12 = a 21 = +1 and a 22 = −1. Then the eigenvalues of the matrix A 19 are,,1024 and −1024,,1024√2 and −1024√2,,4√2 and −4√2,,512√2 and −512√2,,D,MCQ,"We are given a 2×2 matrix: A = [Tex]\begin{bmatrix} 1 & 1 \\ 1 & -1 \end{bmatrix}[/Tex] We are asked to find the eigenvalues of 19 Step 1: Find Eigenvalues of A To find the eigenvalues λ, solve: det⁡(A−λI)=0 =(1−λ)(−1−λ)−1(1)= −(1−λ)(1+λ)−1 = λ 2 =2 So the eigenvalues of A are: λ 1 = [Tex]\sqrt{2}[/Tex] , λ 2​ = [Tex]-\sqrt{2}[/Tex] Use Power of Eigenvalues If a matrix is diagonalizable (which A is, since it has distinct eigenvalues), then: Eigenvalues of A19=(λ1) 19 ,  (λ2) 19 Final Answer: (D) 512√2 and −512√2",,Engineering Mathematics,Linear Algebra,Eigenvalues
59,What is the complement of the language accepted by the NFA shown below? Assume [Tex]\sum [/Tex] = {a} and [Tex]\epsilon[/Tex] is the empty string.,,[Tex]\phi[/Tex],,{ [Tex]{\epsilon}[/Tex] },,a*,,"{a, [Tex]\epsilon[/Tex] }",,B,MCQ,"1. Understanding the NFA States : Let’s label them as follows: q0 : initial state (leftmost) q1 : middle state (double circle, final) q2 : rightmost state Transitions : From q0 to q1 on a From q1 to q2 on ε From q2 to q0 on ε 2. Language Accepted Start at q0 Read a → go to q1 (which is a final state ) ⇒ so a is accepted From q1 , ε → q2 , ε → q0 again ⇒ can repeat the process with another a So, the automaton accepts: a , aa , aaa , ... = { aⁿ | n ≥ 1 } Thus, the accepted language is: L = a⁺ 3. Complement of the Language Given Σ = {a}, the full language over Σ is: a* = {ε, a, aa, aaa, ...} So, the complement of L = a⁺ is: a* − a⁺ = {ε} Final Answer: (B) {ε} Only the empty string is not accepted by the original NFA.",,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
60,Which of the following statements are TRUE about an SQL query? P : An SQL query can contain a HAVING clause even if it does not have a GROUP BY clause Q: An SQL query can contain a HAVING clause only if it has a GROUP BY clause R : All attributes used in the GROUP BY clause must appear in the SELECT clause S : Not all attributes used in the GROUP BY clause need to appear in the SELECT clause,,P & R,,P & S,,Q & R,,Q & S,,B,MCQ,"P: An SQL query can contain a HAVING clause even if it does not have a GROUP BY clause True HAVING is typically used with GROUP BY , but it can be used without GROUP BY . In such cases, the entire result set is treated as one group. Q: An SQL query can contain a HAVING clause only if it has a GROUP BY clause False This contradicts P and is incorrect for the reason explained above. R: All attributes used in the GROUP BY clause must appear in the SELECT clause False This is not required . You can group by columns not included in the SELECT clause, though it’s uncommon. S: Not all attributes used in the GROUP BY clause need to appear in the SELECT clause True As explained above, columns in GROUP BY don’t need to be in SELECT . Final Answer: (B) P and S",,Databases,Data Models,Relational model (queries)
61,"In the IPv4 addressing format, the number of networks allowed under Class C addresses is",,2 14,,2 7,,2 21,,2 24,,C,MCQ,"Class C IP addresses range from 192.0.0.0 to 223.255.255.255 . So, the first octet can be from 192 to 223 , which is 32 values . Each of these allows 256 combinations in the next octet, and 256 in the third. Total Class C networks=32×256×256=221=2,097,152Total Class C networks = 32 × 256 × 256 = 2^{21} = 2,097,152TotalClassCnetworks=32×256×256=221=2,097,152",,Computer Networks,Network Layer,IP addressing
62,"Given the language L = {ab, aa, baa}, which of the following strings are in L *? 1) abaabaaabaa 2) aaaabaaaa 3) baaaaabaaaab 4) baaaaabaa",,"1, 2 and 3",,"2, 3 and 4",,"1, 2 and 4",,"1, 3 and 4",,C,MCQ,"Language L = {ab, aa, baa} So L* includes any combination (repetition) of these strings. Now check each option: abaabaaabaa → Split: ab | aa | baa | ab | aa → doesn't match at end. But if parsed as: ab | aa | baa | baa In L* aaaabaaaa → Split: aa | aa | baa | aa i n L* baaaaabaaaab → Starts with baaa... ⇒ No valid prefix from L matches this (e.g., baaa not in L). Not in L* baaaaabaa → Split: baa | aa | baa In L* Final Answer: (C) 1, 2 and 4",,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
63,Which of the following is TRUE?,,Every relation in 3NF is also in BCNF,,A relation R is in 3NF if every non-prime attribute of R is fully functionally dependent on every key of R,,Every relation in BCNF is also in 3NF,,No relation can be in both BCNF and 3NF,,C,MCQ,"(A) False : 3NF allows some functional dependencies where a non-prime attribute depends on a part of a candidate key via a transitive dependency , which BCNF does not allow . (B) False : This is the condition for 2NF , not 3NF. 3NF also considers transitive dependencies . (C) ✅ True : BCNF is stricter than 3NF. So, if a relation is in BCNF , it must also satisfy 3NF . (D) False : A relation can be in both BCNF and 3NF — in fact, BCNF ⊆ 3NF . Final Answer: (C)",,Theory of Computation,Language Properties,Closure properties
64,"Assuming P ≠ NP, which of the following is TRUE?",,NP-complete = NP,,NP-complete ∩ P = ,,NP-hard = NP,,P = NP-complete,,B,MCQ,"Assuming P ≠ NP : P : Problems solvable in polynomial time. NP-complete : Hardest problems in NP — if any one of them is in P, then P = NP . Analyze the options: (A) NP-complete = NP False This would imply all NP problems are the hardest and solvable in polynomial time — contradicts P ≠ NP. (B) NP-complete ∩ P = ∅ True (assuming P ≠ NP) No NP-complete problem can be in P, otherwise P = NP — which contradicts the assumption. Final Answer: (B) NP-complete ∩ P = ∅",,Theory of Computation,Computability,Complexity classes P and NP
65,What is the minimal form of the Karnaugh map shown below? Assume that X denotes a don’t care term. K-Map,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/35e7e76b6657ae75-6SrcpG9GwUWMLU1lqOkYxAioggU5si.webp,[Tex]\bar{b}\bar{d} [/Tex],,[Tex]\bar{b}\bar{d} + \bar{b}\bar{c} [/Tex],,[Tex]\bar{b}\bar{d} + a\bar{b}\bar{c}d [/Tex],,[Tex]\bar{b}\bar{d} + \bar{b}\bar{c} +\bar{c}\bar{d}[/Tex],,B,MCQ,"From the K-map, group the 1s and use don’t-cares (X) to form larger groups. Group 1: All cells where b = 0 and d = 0 → gives b'd' Group 2: Cells where b = 1 and c = 1 → gives bc These two groups cover all 1s in the map. Minimal expression: b'd' + b'c' hence, Answer is  (b)",,Digital Logic,Minimization,K-maps
