Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
31,"Let d denote the minimum degree of a vertex in a graph. For all planar graphs on n vertices with d ≥ 3, which one of the following is TRUE?",,"In any planar embedding, the number of faces is at least n/2 + 2",,"In any planar embedding, the number of faces is less than  n/2 + 2",,There is a planar embedding in which the number of faces is less than  n/2 + 2,,There is a planar embedding in which the number of faces is at most n/(d+1),,A,MCQ,"Euler's formula for planar graphs: v − e + f = 2. v → Number of vertices e → Number of edges f → Number of faces Since degree of every vertex is at least 3, below is true from handshaking lemma (Sum of degrees is twice the number of edges) 3v ≤ 2e 3v/2 ≤ e Putting these values in Euler's formula. v - 3v/2 + f ≥ 2 f ≥ v/2 + 2",,Engineering Mathematics,Discrete Mathematics,Graph Theory
32,"If G is a forest with n vertices and k connected components, how many edges does G have?",,floor(n/k),,ceil(n/k),,n-k,,n-k+1,,C,MCQ,"Each component will have n/k vertices ( pigeonhole principle ). Hence, for each component there will be (n/k)-1 edges. Since there are k components, total number of edges= k*((n/k)-1) = n-k.",,Engineering Mathematics,Discrete Mathematics,Graph Theory
33,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/f753256be8760951-9j5kSdcG5gV8ZBz9iEI6LCj4c6vwcp.png,A,,B,,C,,D,,C,MCQ,"Let ∑ ={a, b}  then ∑* = { ε, a, b, aa, ba, bb, ...................}  ""Set of all strings over any finite alphabet are Countable "". Therefore, ∑* is countable. Since there exist an enumeration procedure using which all the string of the language can be generated, which means each string can be counted in finite number of steps.  So, ∑* is countably infinite But 2 Σ* is Uncountable, which can be proved using Diagonalization Method. This theorem says-  ""If ∑* is countably infinite then 2 Σ* is Uncountable"".",,,,
34,"Consider the following processors (ns stands for nanoseconds). Assume that the pipeline registers have zero latency. P1: Four-stage pipeline with stage latencies 1 ns, 2 ns, 2 ns, 1 ns. P2: Four-stage pipeline with stage latencies 1 ns, 1.5 ns, 1.5 ns, 1.5 ns. P3: Five-stage pipeline with stage latencies 0.5 ns, 1 ns, 1 ns, 0.6 ns, 1 ns. P4: Five-stage pipeline with stage latencies 0.5 ns, 0.5 ns, 1 ns, 1 ns, 1.1 ns. Which processor has the highest peak clock frequency?",,P1,,P2,,P3,,P4,,C,MCQ,Peak clock frequency = 1 / Maximum latency Maximum of latencies is minimum in P3 i.e. P1 : f= 1/2 = 0.5 GHz P2: f=1/1.5 = 0.67 GHz P4: f=1/1.1 GHz P3 : f=1/1 GHz =1 Thus P3 is be the right answer,,Computer Organization and Architecture,Pipelining,Basics of pipelining
35,"An instruction pipeline has five stages, namely, instruction fetch (IF), instruction decode and register fetch (ID/RF), instruction execution (EX), memory access (MEM), and register writeback (WB) with stage latencies 1 ns, 2.2 ns, 2 ns, 1 ns, and 0.75 ns, respectively (ns stands for nanoseconds). To gain in terms of frequency, the designers have decided to split the ID/RF stage into three stages (ID, RF1, RF2) each of latency 2.2/3 ns. Also, the EX stage is split into two stages (EX1, EX2) each of latency 1 ns. The new design has a total of eight pipeline stages. A program has 20% branch instructions which execute in the EX stage and produce the next instruction pointer at the end of the EX stage in the old design and at the end of the EX2 stage in the new design. The IF stage stalls after fetching a branch instruction until the next instruction pointer is computed. All instructions other than the branch instruction have an average CPI of one in both the designs. The execution times of this program on the old and the new design are P and Q nanoseconds, respectively. The value of P/Q is __________.",,1.5,,1.4,,1.8,,2.5,,A,MCQ,Each one takes average 1CPI. In 1st case 80% take 1 clock and 20% take 3 clocks so total time: p = (.8*1 + .2*3)*2.2=3.08. q = (.8*1 + 6*.2)*1=2 p/q = 1.54,,Computer Organization and Architecture,Pipelining,Hazards
36,An IP router with a Maximum Transmission Unit (MTU) of 1500 bytes has received an IP packet of size 4404 bytes with an IP header of length 20 bytes. The values of the relevant fields in the header of the third IP fragment generated by the router for this packet are,,"MF bit: 0, Datagram Length: 1444; Offset: 370",,"MF bit: 1, Datagram Length: 1424; Offset: 185",,"MF bit: 1, Datagram Length: 1500; Offset: 37",,"MF bit: 0, Datagram Length: 1424; Offset: 2960",,A,MCQ,Number of packet fragments = ⌈ (total size of packet)/(MTU) ⌉ = ⌈ 4404/1500 ⌉ = ⌈ 2.936 ⌉ = 3 So Datagram with data 4404 byte fragmented into 3 fragments. The first frame carries bytes 0 to 1479 (because MTU is 1500 bytes and HLEN is 20 byte so the total bytes in fragments is maximum 1500-20=1478). the offset for this datagram is 0/8 = 0.  The second fragment carries byte 1480 to 2959. The offset for this datagram is 1480/8 = 185.finally the third fragment carries byte 2960 to 4404.the offset is 370.and for all fragments except last one the M bit is 1.so in the third bit M is 0..,,Computer Networks,Network Layer,IPv4/IPv6
37,Every host in an IPv4 network has a 1-second resolution real-time clock with battery backup. Each host needs to generate up to 1000 unique identifiers per second. Assume that each host has a globally unique IPv4 address. Design a 50-bit globally unique ID for this purpose. After what period (in seconds) will the identifiers generated by a host wrap around?,,128,,64,,256,,512,,C,MCQ,"Wrap-around time is nothing but in how many seconds will all the hosts generate all IDs possible. (i.e. TOTAL_IDS / NO. OF IDS PER SEC). Total IDs possible with 50-bit is 2^50.   Total hosts present is 2^32 since it is a IPv4 network.  One host generating 1000 identifiers per sec. So all hosts will generate 2^32 * 1000 ----> 2^32 * 2^10-----> 2^42 unique IDs.   If we Divide them, we get answer (i.e. 2^50/2^42=2^8).",,Computer Networks,Network Layer,IPv4/IPv6
38,"Host A (on TCP/IP v4 network A) sends an IP datagram D to host B (also on TCP/IP v4 network B). Assume that no error occurred during the transmission of D. When D reaches B, which of the following IP header field(s) may be different from that of the original datagram D? (i) TTL (ii) Checksum (iii) Fragment Offset",,(i) only,,(i) and (ii) only,,(ii) and (iii) only,,"(i), (ii) and (iii)",,D,MCQ,"All (i), (ii) and (iii) are changed: (i) TTL is decremented at every hop.  So TTL is different from original value  (ii) Since TTL changes, the Checksum of the packet also changes.  (iii) A packet is fragmented if it has a size greater than the Maximum Transmission Unit (MTU) of the network. There may be intermediate networks that may change fragment offset by fragmenting the packet.",,Computer Networks,Network Layer,IPv4/IPv6
39,Classless Inter-domain Routing (CIDR) receives a packet with address 131.23.151.76. The router’s routing table has the following entries: Prefix           Output Interface Identifier 131.16.0.0/12              3 131.28.0.0/14              5 131.19.0.0/16              2 131.22.0.0/15              1 The identifier of the output interface on which this packet will be forwarded is ______.,,1,,2,,3,,5,,A,MCQ,"In this question, we need to find out Netmask for each entry and BITWISE AND with given packet address, whichever equals the Netid, is the ans. Ex. 1st entry in table: 131.16.0.0/12. its MASK is first 12 bits of network(they are all 1) and remaining 20 bits of host(they are all 0). so MASK is 255.240.0.0 AND 131.23.151.76 = 131.16.0.0. Last entry is 131.22.0.0/15 MASK--->255.254.0.0 AND 131.23.151.76 = 131.22.0.0. Two ans coming interfaces 1,3. Longest Prefix Matching is used to decide among two.  When one destination address matches more than one forwarding table entry. The most specific of the matching table entries is used as the interface. The interface 1 has the longest matching prefix with the input IP address.  Therefore 1 is chosen.",,Computer Networks,Network Layer,IP addressing
40,"In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is",,Network layer and Routing,,Data Link Layer and Bit synchronization,,Transport layer and End-to-end process communication,,Medium Access Control sub-layer and Channel sharing,,B,MCQ,"1) Yes, Network layer does Routing 2) No, Bit synchronization is provided by Physical Layer 3) Yes, Transport layer provides End-to-end process communication 4) Yes, Medium Access Control sub-layer of Data Link Layer provides Channel sharing.",,Computer Networks,Network Models,Layered architecture
41,"In the context of modular software design, which one of the following combinations is desirable?",,High cohesion and high coupling,,High cohesion and low coupling,,Low cohesion and high coupling,,Low cohesion and low coupling,,B,MCQ,"Coupling is the manner and degree of interdependence between software modules. Cohesion refers to the degree to which the elements of a module belong together.  In a good software design, it is always desirable to have less interaction among modules (Low coupling).    Advantages of high cohesion (or “strong cohesion”) are:  1)    Reduced module complexity (they are simpler, having fewer operations). 2)    Increased system maintainability, because logical changes in the domain affect fewer modules, and because changes in one module require fewer changes in other modules. 3)    Increased module reusability, because application developers will find the component they need more easily among the cohesive set of operations provided by the module.",,,,
42,"The CORRECT formula for the sentence, “not all rainy days are cold” is",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/37c28d1f1d7a5a3e-8u55HimHOjiZIFYhGOMbJAxs2I9Mwj.png,A,,B,,C,,D,,D,MCQ,"(A) Note that (p ∧ ~q) ≡ ~(p -> q).  So it means rainy day to cold implication is false for all days.  Which means non-rainy days are cold. (B) For all days, if day is not rainy, then it is cold [Non-Rainy days are cold] (C) There exist some days for which not rainy implies cold.  [Some non-rainy days are cold] (D) Note that (p ∧ ~q) ≡ ~(p -> q). So it means rainy day to cold implication is false for some days.  Which means not all rainy days are cold.",,Engineering Mathematics,Discrete Mathematics,Logic
43,"While trying to collect (I) an envelope from under the table (II), Mr. X fell down (III) and was losing consciousness ( IV)  Which one of the above underlined parts of the sentence is NOT appropriate?",,I,,II,,III,,IV,,D,MCQ,"Here, part IV is incorrect. ""was losing consciousness"" shows continuous process of losing consciousness, but he was not in the process, rather he just lost consciousness. So, the correction is "" was losing consciousness ""  → "" lost consciousness "". Thus, IV is the correct choice. Please comment below if you find anything wrong in the above post.",,,,
44,"If she _______________ how to calibrate the instrument, she _______________ done the experiment.",,"knows, will have",,"knew, had",,"had known, could have",,"should have known, would have",,C,MCQ,"A)knows, will have Present ,future  B)knew, had past past  c)had known, could have past perfect,perfect conditional D)should have known, would have present,future        In a Type 3 conditional sentence, the tense in the 'if' clause is the past perfect, and the tense in the main clause is the perfect conditional or the perfect continuous conditional. If clause (condition) Main clause (result) If + past perfect perfect conditional or perfect continuous conditional If this thing had happened that thing would have happened. source: http://www.edufind.com/english-grammar/type-3-conditional/",,,,
45,Choose the word that is opposite in meaning to the word “coherent”.,,sticky,,well-connected,,rambling,,friendly,,C,MCQ,"Coherent - Adj. Meaning - (of an argument, theory, or policy) logical and consistent. Rambling - Adj. Meaning - (of writing or speech) lengthy and confused or inconsequential. Hence both are opposite to each other. For synonyms and more example sentences visit : http://www.oxforddictionaries....",,,,
46,"Consider the following statements: P: Good mobile phones are not cheap Q: Cheap mobile phones are not good L: P implies Q M: Q implies P N: P is equivalent to Q Which one of the following about L, M, and N is CORRECT?",,Only L is TRUE.,,Only M is TRUE.,,Only N is TRUE.,,"L, M and N are TRUE",,D,MCQ,Let a and b be two proposition a: Good Mobile phones. b: Cheap Mobile Phones. P and Q can be written in logic as P: a-->~b Q: b-->~a. Truth Table a   b   ~a  ~b   P   Q T   T   F    F   F   F T   F   F    T   T   T F   T   T    F   T   T F   F   T    T   T   T it clearly shows P and Q are equivalent. so option D is Correct,,Engineering Mathematics,Discrete Mathematics,Logic
47,"Which number does not belong in the series below? 2, 5, 10, 17, 26, 37, 50, 64",,17,,37,,64,,26,,C,MCQ,"Given series is 2,5,10,17,26,37,50,64. Here total number of terms are 8..i.e. A(1) to A(8). For the 1st 7 terms, you can observe the relationship between the terms which is A(n) = [ A(n-1) - {A(n-1) + A(n-2)} + 2 ] where n >= 3 Now for the 8th term i.e. A(8), this relationship violates. According to the relationship, A(8) = [A(7) + {A(7) - A(6)} + 2 ] = [50 + {50 - 37} + 2 ] = 50 + 13 + 2 = 65. But in the series it is 64. Hence 64 doesn't belong to the series.",,,,
48,The table below has question-wise data on the performance of students in an examination. The marks for each question are also listed. There is no negative or partial marking in the examination. What is the average of the marks obtained by the class in the examination,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/94e02f36f64202b7-Hw9ub8OZtIL9wEg8Y4RNkczG6sBK06.png,1.34,,1.74,,3.02,,3.91,,C,MCQ,"As you can see from each row that the total number of students in the class are 44. Now we have to find the total number of marks obtained by the class. Marks are given for correct answers only. No negative or partial marking. For 1st question total marks obtained are : 2*21 = 42 For 2nd question total marks obtained are : 3*15 = 45 For 3rd question total marks obtained are : 2*23 = 46 hence total marks obtained by the class are = 42+45+46 = 133 Now, Average marks obtained = Total Marks/Total no of students = 133/44 = 3.02 Hence C is the answer.",,,,
49,A dance programme is scheduled for 10.00 a.m. Some students are participating in the programme and they need to come an hour earlier than the start of the event. These students should be accompanied by a parent. Other students and parents should come in time for the programme. The instruction you think that is appropriate for this is,,Students should come at 9.00 a.m. and parents should come at 10.00 a.m.,,"Participating students should come at 9.00 a.m. accompanied by a parent, and other parents and students should come by 10.00 a.m.",,Students who are not participating should come by 10.00 a.m. and they should not bring their parents. Participating students should come at 9.00 a.m.,,Participating students should come before 9.00 a.m. Parents who accompany them should come at 9.00 a.m. All others should come at 10.00 a.m.,,B,MCQ,"A is not the appropriate instruction as only the participating students and their parents have to come at 9.00 a.m. and other students along with their parents have to come at 10.00 a.m., while the statement in A says that all students should come at 9.00 a.m. and all the parents should come at 10.00 a.m. B is the appropriate instruction and covers all the aspects of the information to be conveyed. C is not the appropriate instruction as the non participating students have to come at 10.00 a.m. with their parents, while the statement in B says that these students have to come without their parents. D is not the appropriate instruction as it states that the participating students have to come before 9.00 a.m. whereas they have to come at 9.00 a.m. So B is Correct option.",,,,
50,"By the beginning of the 20th century, several hypotheses were being proposed, suggesting a paradigm shift in our understanding of the universe. However, the clinching evidence was provided by experimental measurements of the position of a star which was directly behind our sun. Which of the following inference(s) may be drawn from the above passage? (i) Our understanding of the universe changes based on the positions of stars (ii) Paradigm shifts usually occur at the beginning of centuries (iii) Stars are important objects in the universe (iv) Experimental evidence was important in confirming this paradigm shift",,"(i), (ii) and (iv)",,(iii) only,,(i) and (iv),,(iv) only,,D,MCQ,"Paradigm shift means a fundamental change in approach to something or change in the underlying assumptions in relation to something. This change, as per the question, was verified with the experimental measurements of the position of a star that was behind the sun.  (i) is incorrect as it generalizes the experimental evidence of the star and assumes it to be always true, which may not be the case every time.  (ii) is also incorrect. If there was a paradigm shift at the beginning of the 20th century, it does not necessarily means that all paradigm shifts usually occur at the beginning of centuries.  (iii) is incorrect as it again generalizes an experimental statement. Stars proved to be important in the given case does not necessarily imply that they would be important every time.  (iv) is correct as it is clearly understood from the given case conditions that this experimental measurements provided a clinching (solid/concrete) evidence to our understanding of the universe.     So, D is the correct choice as only (iv) is the correct statement.     Please comment below if you find anything wrong in the above post.",,,,
51,"The Gross Domestic Product (GDP) in Rupees grew at 7% during 2012-2013. For international comparison, the GDP is compared in US Dollars (USD) after conversion based on the market exchange rate. During the period 2012-2013 the exchange rate for the USD increased from Rs. 50/ USD to Rs. 60/ USD. India’s GDP in USD during the period 2012-2013",,increased by 5 %,,decreased by 13%,,decreased by 20%,,decreased by 11%,,D,MCQ,Suppose original GDP was x then its international value is x/50. Now GDP becomes 107*x/100 and its international value becomes (107x/100)/60= 107x/6000. The value has decreased by (x/50)-(107x/6000). Percentage approx 10.8% = 11%,,,,
52,"The ratio of male to female students in a college for five years is plotted in the following line graph. If the number of female students in 2011 and 2012 is equal, what is the ratio of male students in 2012 to male students in 2011?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/44c51726c19f4aff-9gl8dyJPJZ9qcgZ4yoisYBaWXQx1fI.png,1:1,,2:1,,1.5:1,,2.5:1,,C,MCQ,"Number of female students in 2011 and 2012 are equal. Suppose they are x. Now, Males students in 2011 = Female students in 2011 = x (as the ratio is 1) And in 2012, Male students / Female students = 1.5(Given) Hence Male students in 2012 = 1.5 * Female students = 1.5 * x Now ratio of Male students in 2012 to Male students in 2011 = ( 1.5 * x ) / x = 1.5 / 1 i.e. 1.5 : 1 Hence C is the answer.",,,,
53,"Consider the equation: (7526)8 − (Y)8 = (4364)8 , where (X)N stands for X to the base N. Find Y.",,1634,,1737,,3142,,3162,,C,MCQ,"(X)N stands for X to the base N. 7526(8) - Y(8) = 4364(Y) Base 8(Octal) uses digits 0 to 7. Now Y(8) = 7526(8) - 4364(8) The subtraction of octal numbers follows the same rules as the subtraction of numbers in any other number system. The only variation is in borrowed number. In the decimal system, you borrow a group of 10(10). In the binary system, you borrow a group of 2(10). In the octal system you borrow a group of 8(10). Reference: http://www.tpub.com/neets/book13/53f.htm",,Digital Logic,Number Representations,Integer representation
54,Which of the following statements are CORRECT? 1) Static allocation of all data areas by a compiler makes it impossible to implement recursion. 2) Automatic garbage collection is essential to implement recursion. 3) Dynamic allocation of activation records is essential to implement recursion. 4) Both heap and stack are essential to implement recursion.,,1 and 2 only,,2 and 3 only,,3 and 4 only,,1 and 3 only,,D,MCQ,"1) Static allocation of all data areas by a compiler makes it impossible to implement recursion. True, dynamic allocate of memory is required for function call stack as number of calls is not known advance for recursive functions. 2) Automatic garbage collection is essential to implement recursion. False, Automatic garbage collection is not essential. 3) Dynamic allocation of activation records is  essential to implement recursion. True, as number of calls or number of  activation records  is not known advance for recursive functions. 4) Both heap and stack are essential to implement recursion. Heap is not needed for function calls. It is generally used for dynamic memory allocation by user (or programmer).  See Memory Layout of C Programs",,Compiler Design,Runtime Environments,Activation records
55,A prime attribute of a relation scheme R is an attribute that appears,,in all candidate keys of R.,,in some candidate key of R.,,in a foreign key of R.,,only in the primary key of R.,,B,MCQ,"The constituent attributes of a Candidate key or simply the attributes of a candidate key are called the prime attributes.  Suppose ABC is one candidate key of a Relation R(ABCDEFGH). Then the attributes A, B and C all are prime attributes. Similarly if ABD is also another candidate key in the same relation R, then D is also the prime attribute. And conversely, an attribute that does not occur in ANY candidate key is called a non-prime attribute.",,Databases,Database Design,Functional dependencies
56,An operating system uses shortest remaining time first scheduling algorithm for pre-emptive scheduling of processes. Consider the following set of processes with their arrival times and CPU burst times (in milliseconds): Process      Arrival Time    Burst Time P1           0               12 P2           2               4 P3           3               6 P4           8               5 The average waiting time (in milliseconds) of the processes is _________.,,4.5,,5.0,,5.5,,6.5,,C,MCQ,SRTF Timeline: 0–2: P1 runs (rem 10) 2–6: P2 runs → finishes 6–12: P3 runs → finishes 12–17: P4 runs → finishes 17–27: P1 runs → finishes Waiting times: P1 = 27 − 0 − 12 = 15 P2 = 6 − 2 − 4 = 0 P3 = 12 − 3 − 6 = 3 P4 = 17 − 8 − 5 = 4 Average waiting time: (15+0+3+4)/4=5.5 ms Answer: 5.5 ms,,Operating System,Scheduling,CPU scheduling algorithms
57,A system contains three programs and each requires three tape units for its operation. The minimum number of tape units which the system must have such that deadlocks never arise is _________.,,6,,7,,8,,9,,B,MCQ,"If 6 resources are there then it may be possible that all three process have 2 resources and waiting for 1 more resource.  Therefore, all of them will have to wait indefinitely.  If 7 resources are there, then atleast one must have 3 resources so deadlock can never occur.",,Operating System,Concurrency,Deadlock
58,Consider the basic block given below. a = b + c c = a + d d = b + c e = d - b a = e + b The minimum number of nodes and edges present in the DAG representation of the above basic block respectively are,,6 and 6,,8 and 10,,9 and 12,,4 and 4,,A,MCQ,"Simplifying the given equations : d = b + c  (given)      e =  d – b (given) =>  d = b + c    and    e = c e = d -  b  (given)      a = e + b (given) =>  a = d Thus, the given DAG has 6 nodes and 6 edges.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Explanation_Images/c526b9a321d608ac-CvEDseetIsDg72f1voW2APCqRJN1Z7.jpg,Compiler Design,Optimization,Code optimization
59,"Suppose you want to move from 0 to 100 on the number line. In each step, you either move right by a unit distance or you take a shortcut. A shortcut is simply a pre-specified pair of integers i, j with i < j. Given a shortcut i, j if you are at position i on the number line, you may directly move to j. Suppose T(k) denotes the smallest number of steps needed to move from k to 100. Suppose further that there is at most 1 shortcut involving any number, and in particular from 9 there is a shortcut to 15. Let y and z be such that T(9) = 1 + min(T(y), T(z)). Then the value of the product yz is _____.",,50,,100,,150,,200,,C,MCQ,"T(k) is the smallest number of steps needed to move from k to 100. Now, it is given that ‘y’ and ‘z’ are two numbers such that T(9) = 1 + min (T(y), T(z)), i.e., T(9) = 1 + min (Steps from y to 100, Steps from z to 100), where ‘y’ and ‘z’ are two possible values that can be reached from 9. One number that can be reached from 9 is 10, which is the number obtained if we simply move one position right on the number line. Another number is 15, the shortcut path from 9, as given in the question. So, we have two paths from 9, one is 10 and the other is 15. Therefore, the value of y and z is 10 and 15 (either variable may take either of the values). Thus, yz = 150.",,Algorithms,Design Techniques,Dynamic programming
60,"Consider a hash table with 100 slots. Collisions are resolved using chaining. Assuming simple uniform hashing, what is the probability that the first 3 slots are unfilled after the first 3 insertions?",,(97 × 97 × 97)/100 3,,(99 × 98 × 97)/100 3,,(97 × 96 × 95)/100 3,,(97 × 96 × 95)/(3! × 100 3 ),,A,MCQ,"Simple Uniform hashing function is a hypothetical hashing function that evenly distributes items into the slots of a hash table. Moreover, each item to be hashed has an equal probability of being placed into a slot, regardless of the other elements already placed. Probability that the first 3 slots are unfilled after the first 3 insertions = (probability that first item doesn't go in any of the first 3 slots)* (probability that second item doesn't go in any of the first 3 slots)* (probability that third item doesn't go in any of the first 3 slots) = (97/100) * (97/100) * (97/100)",,Programming and Data Structures,Linear Data Structures,Hashing
61,Let A be a square matrix of size n x n. Consider the following program. What is the expected output? C = 100 for i = 1 to n do for j = 1 to n do { Temp = A[i][j] + C A[i][j] = A[j][i] A[j][i] = Temp - C } for i = 1 to n do for j = 1 to n do Output(A[i][j]);,,The matrix A itself,,Transpose of matrix A,,Adding 100 to the upper diagonal elements and subtracting 100 from diagonal elements of A,,Inverse of matrix A,,A,MCQ,"If we take look at the inner statements of first loops, we can notice that the statements swap A[i][j] and A[j][i] for all i and j. Since the loop runs for all elements, every element A[l][m] would be swapped twice, once for i = l and j = m and then for i = m and j = l. Swapping twice means the matrix doesn’t change.",,Programming and Data Structures,Programming in C,Arrays and pointers
62,"Suppose we have a balanced binary search tree T holding n numbers. We are given two numbers L and H and wish to sum up all the numbers in T that lie between L and H. Suppose there are m such numbers in T. If the tightest upper bound on the time to compute the sum is O(n a log b n + m c log d n), the value of a + 10b + 100c + 1000d is ____.",,60,,110,,210,,50,,B,MCQ,"int getSum(node *root, int L, int H) { // Base Case if (root == NULL) return 0; if (root->key < L) return getSum(root->right, L, H); if (root->key > H) return getSum(root->left, L, H) if (root->key >= L && root->key <=H) return getSum(root->left, L, H) + root->key + getSum(root->right, L, H); } The above always takes O(m + Logn) time. Note that the code first traverses across height to find the node which lies in range.  Once such a node is found, it recurs for left and right children.  Two recursive calls are made only if the node is in range.  So for every node that is in range, we make at most one extra call (here extra call means calling for a node that is not in range).",,Algorithms,Complexity Analysis,Algorithm analysis
63,Consider the following rooted tree with the vertex P labeled as root The order in which the nodes are visited during in-order traversal is,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/60c162790d3a4676-py9wBxfApKPg5r7qSrDIbnmxAJ11Qu.png,SQPTRWUV,,SQPTURWV,,SQPTWUVR,,SQPTRUWV,,A,MCQ,"Algorithm Inorder(tree) - Use of Recursion Steps: 1. Traverse the left subtree, i.e., call Inorder(left-subtree) 2. Visit the root. 3. Traverse the right subtree, i.e., call Inorder(right-subtree) Understanding this algorithm requires the basic understanding of Recursion Therefore, We begin in the above tree with root as the starting point, which is P. # Step 1( for node P) : Traverse the left subtree of node or root P. So we have node Q on left of P. -> Step 1( for node Q) Traverse the left subtree of node Q. So we have node S on left of Q. * Step 1 (for node S) Now again traverse the left subtree of node S which is NULL here. * Step 2(for node S) Visit the node S, i.e print node S as the 1st element of inorder traversal. * Step 3(for node S) Traverse the right subtree of node S. Which is NULL here. Now move up in the tree to Q which is parent of S.( Recursion, function of Q called for function of S). Hence we go back to Q. -> Step 2( for node Q): Visit the node Q, i.e print node Q as the 2nd element of inorder traversal. -> Step 3 (for node Q) Traverse the right subtree of node Q. Which is NULL here. Now move up in the tree to P which is parent of Q.( Recursion, function of P called for function of Q). Hence we go back to P. # Step 2(for node P) Visit the node P, i.e print node S as the 3rd element of inorder traversal. # Step 3 (for node P) Traverse the right subtree of node P. Node R is at the right of P. Till now we have printed SQP as the inorder of the tree. Similarly other elements can be obtained by traversing the right subtree of P. The final correct order of Inorder traversal would be SQPTRWUV.",,Programming and Data Structures,Non-Linear Data Structures,Trees
64,"Consider the pseudocode given below. The function DoSomething() takes as argument a pointer to the root of an arbitrary tree represented by the leftMostChild-rightSibling representation. Each node of the tree is of type treeNode. C typedef struct treeNode * treeptr ; struct treeNode { treeptr leftMostChild , rightSibling ; }; int DoSomething ( treeptr tree ) { int value = 0 ; if ( tree != NULL ) { if ( tree -> leftMostChild == NULL ) value = 1 ; else value = DoSomething ( tree -> leftMostChild ); value = value + DoSomething ( tree -> rightSibling ); } return ( value ); } When the pointer to the root of a tree is passed as the argument to DoSomething, the value returned by the function corresponds to the",,number of internal nodes in the tree.,,height of the tree.,,number of nodes without a right sibling in the tree.,,number of leaf nodes in the tree.,,D,MCQ,"The function counts leaf nodes for a tree represented using leftMostChild-rightSibling representation.  Below is function with comments added to demonstrate how function works. C int DoSomething ( treeptr tree ) { // If tree is empty, 0 is returned int value = 0 ; // IF tree is not empty if ( tree != NULL ) { // IF this is a leaf node, then values is initialized as 1 if ( tree -> leftMostChild == NULL ) value = 1 ; // Else value is initialized as the value returned by leftmost // child which in turn calls for the other children of this node // Using last call ""value = value + DoSomething(tree->rightSibling);"" else value = DoSomething ( tree -> leftMostChild ); // Add value returned by right sibling value = value + DoSomething ( tree -> rightSibling ); } return ( value ); }",,Programming and Data Structures,Non-Linear Data Structures,Trees
65,One of the purposes of using intermediate code in compilers is to,,make parsing and semantic analysis simpler.,,improve error recovery and error reporting.,,increase the chances of reusing the machine-independent code optimizer in other compilers.,,improve the register allocation.,,C,MCQ,"After semantic Analysis, the code is converted into intermediate code which is platform(OS + hardware) independent, the advantage of converting into intermediate code is to improve the performance of code generation and to increase the chances of reusing the machine-independent code optimizer in other compilers. So, option (C) is correct.",,Compiler Design,Intermediate Code,Intermediate representations
